---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\Data\SC\Tmp\SC_hip_rstar1-output-euler-pelvis.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
4.666666666666673e-001 -2.804782869657392e-001 8.754996966139182e-002 1.023384881682349e+000 1.546337946228772e+000 1.100142167424202e+000 1.573267001415079e+000
4.750000000000006e-001 -2.805842603655421e-001 8.752303491052244e-002 1.023380345321871e+000 1.545841452015365e+000 1.099914966313227e+000 1.572965947225612e+000
4.833333333333340e-001 -2.807068162785577e-001 8.749695901906004e-002 1.023371679185928e+000 1.545290643777699e+000 1.099646561280102e+000 1.572607975563266e+000
4.916666666666674e-001 -2.808446647221372e-001 8.747251320748295e-002 1.023359597933938e+000 1.544699908588391e+000 1.099344442911770e+000 1.572206133888179e+000
5.000000000000007e-001 -2.809964147934739e-001 8.745067287690210e-002 1.023345522433543e+000 1.544081811205610e+000 1.099020591648802e+000 1.571773100850278e+000
5.083333333333340e-001 -2.811606566134615e-001 8.743247835000149e-002 1.023331301091399e+000 1.543447546804223e+000 1.098690642118745e+000 1.571321871153034e+000
5.166666666666673e-001 -2.813360397411870e-001 8.741897797274228e-002 1.023318884555658e+000 1.542808679508224e+000 1.098372329370349e+000 1.570867321908241e+000
5.250000000000006e-001 -2.815213430395903e-001 8.741120289481401e-002 1.023310045425418e+000 1.542178156245314e+000 1.098083294435033e+000 1.570426509495713e+000
5.333333333333339e-001 -2.817155299235026e-001 8.741011559856796e-002 1.023306173063592e+000 1.541569608817298e+000 1.097838503871940e+000 1.570016711041424e+000
5.416666666666672e-001 -2.819177955068171e-001 8.741650154669584e-002 1.023308158521712e+000 1.540995486940300e+000 1.097647904672087e+000 1.569652018725958e+000
5.500000000000005e-001 -2.821276052540903e-001 8.743083069655712e-002 1.023316345718855e+000 1.540465222087795e+000 1.097514845180225e+000 1.569340237821332e+000
5.583333333333338e-001 -2.823450898290236e-001 8.745301588453132e-002 1.023330402892728e+000 1.539978152305943e+000 1.097432717864426e+000 1.569075854098422e+000
5.666666666666671e-001 -2.825694525952791e-001 8.748298678079912e-002 1.023349575124704e+000 1.539554206183646e+000 1.097396639404490e+000 1.568869105170549e+000
5.750000000000004e-001 -2.828012457255550e-001 8.751988844228720e-002 1.023372173371360e+000 1.539182577879090e+000 1.097386125173223e+000 1.568698131402106e+000
5.833333333333337e-001 -2.830405956623249e-001 8.756271807257554e-002 1.023396089563838e+000 1.538864638163794e+000 1.097381367852606e+000 1.568552167066096e+000
5.916666666666670e-001 -2.832875568206821e-001 8.761033664042459e-002 1.023418892405140e+000 1.538601935121656e+000 1.097362159634198e+000 1.568421316033306e+000
6.000000000000003e-001 -2.835421872630131e-001 8.766163814613809e-002 1.023438043321722e+000 1.538396859219316e+000 1.097310573781944e+000 1.568298832204371e+000
6.083333333333336e-001 -2.838046608647026e-001 8.771571576182161e-002 1.023451134434972e+000 1.538252160571181e+000 1.097212777907945e+000 1.568181578748752e+000
6.166666666666669e-001 -2.840752661890769e-001 8.777197351504934e-002 1.023456287247164e+000 1.538169964231923e+000 1.097060644733636e+000 1.568069164761811e+000
6.250000000000002e-001 -2.843543011254662e-001 8.783015030539407e-002 1.023452644106139e+000 1.538150514615700e+000 1.096853068706424e+000 1.567962448106494e+000
6.333333333333335e-001 -2.846413865190871e-001 8.789015026344989e-002 1.023440447587201e+000 1.538200708881038e+000 1.096597134666216e+000 1.567871690931774e+000
6.416666666666668e-001 -2.849376985775330e-001 8.795221393079522e-002 1.023421757055571e+000 1.538291445314336e+000 1.096304643333331e+000 1.567775004314950e+000
6.500000000000001e-001 -2.852425875283864e-001 8.801626522663544e-002 1.023399101446696e+000 1.538410321455320e+000 1.095996207299114e+000 1.567669456698248e+000
6.583333333333334e-001 -2.855557439619982e-001 8.808200332231767e-002 1.023375937240043e+000 1.538523967707190e+000 1.095697125604043e+000 1.567534576659157e+000
6.666666666666667e-001 -2.858772859721828e-001 8.814890946855407e-002 1.023356374496798e+000 1.538575190160968e+000 1.095434359141243e+000 1.567327914410432e+000
6.750000000000000e-001 -2.862051440683771e-001 8.821597919803989e-002 1.023343884107228e+000 1.538540062050387e+000 1.095238504773834e+000 1.567040423380433e+000
6.833333333333334e-001 -2.865385586176430e-001 8.828271025773628e-002 1.023341986840495e+000 1.538371025582305e+000 1.095134906847123e+000 1.566637068483524e+000
6.916666666666667e-001 -2.868774811298775e-001 8.834873154803470e-002 1.023352693519053e+000 1.538025686061814e+000 1.095132409788313e+000 1.566082496139748e+000
7.000000000000000e-001 -2.872203085718775e-001 8.841375346060035e-002 1.023376544668441e+000 1.537508327691243e+000 1.095237841894535e+000 1.565384697913016e+000
7.083333333333333e-001 -2.875661412406820e-001 8.847760844520919e-002 1.023412751187613e+000 1.536830857499744e+000 1.095445016890773e+000 1.564555052211450e+000
7.166666666666666e-001 -2.879142331585129e-001 8.854020814278356e-002 1.023459167738153e+000 1.536020027518012e+000 1.095737487821377e+000 1.563616788475723e+000
7.249999999999999e-001 -2.882639160649730e-001 8.860156349830280e-002 1.023512497192590e+000 1.535113728391302e+000 1.096090161431564e+000 1.562602199220561e+000
7.333333333333332e-001 -2.886145148467529e-001 8.866169648527610e-002 1.023568843455428e+000 1.534153442956530e+000 1.096472710505480e+000 1.561545828098540e+000
7.416666666666665e-001 -2.889653131567909e-001 8.872046433002565e-002 1.023624434707364e+000 1.533174823089074e+000 1.096854070498388e+000 1.560475716759809e+000
7.499999999999998e-001 -2.893155588556492e-001 8.877741465156032e-002 1.023676130593114e+000 1.532201904632492e+000 1.097206589019011e+000 1.559408507259744e+000
7.583333333333331e-001 -2.896644939963123e-001 8.883171086674190e-002 1.023721726455427e+000 1.531246180092202e+000 1.097509525717420e+000 1.558349882999397e+000
7.666666666666664e-001 -2.900113791393494e-001 8.888219646589085e-002 1.023760176637320e+000 1.530309195251507e+000 1.097751476343252e+000 1.557298576934386e+000
7.749999999999997e-001 -2.903554407819752e-001 8.892774200724227e-002 1.023791429654457e+000 1.529389814344420e+000 1.097929936431126e+000 1.556254072630058e+000
7.833333333333330e-001 -2.906957137346610e-001 8.896777802436992e-002 1.023815768003243e+000 1.528494890856498e+000 1.098047844509142e+000 1.555226542603608e+000
7.916666666666663e-001 -2.910308658642015e-001 8.900261391542483e-002 1.023833239591068e+000 1.527645568713872e+000 1.098110021635038e+000 1.554242018312909e+000
7.999999999999996e-001 -2.913591550715458e-001 8.903326283787974e-002 1.023843697823120e+000 1.526872544056656e+000 1.098122157120010e+000 1.553336769708780e+000
8.083333333333329e-001 -2.916785767240933e-001 8.906094495153728e-002 1.023847236401279e+000 1.526204232154872e+000 1.098091838778127e+000 1.552544988610659e+000
8.166666666666662e-001 -2.919871091987353e-001 8.908666734769707e-002 1.023844503773254e+000 1.525658287655041e+000 1.098029332662914e+000 1.551890095669076e+000
8.249999999999995e-001 -2.922829250483831e-001 8.911102681540578e-002 1.023836709838510e+000 1.525240717527330e+000 1.097947028548254e+000 1.551383795879094e+000
8.333333333333328e-001 -2.925648721178079e-001 8.913408926983663e-002 1.023825292377834e+000 1.524940561078862e+000 1.097854188661517e+000 1.551020327612720e+000
8.416666666666661e-001 -2.928310092831464e-001 8.915546984905678e-002 1.023812297435730e+000 1.524768791423715e+000 1.097772508365754e+000 1.550817109997478e+000
8.499999999999994e-001 -2.930808671449826e-001 8.917423997654585e-002 1.023798940777083e+000 1.524699363803318e+000 1.097705295470874e+000 1.550751574210145e+000
8.583333333333327e-001 -2.933138629015610e-001 8.918911933562662e-002 1.023786393645352e+000 1.524715271436974e+000 1.097658350576454e+000 1.550809608748742e+000
